object pb errbl errbu pj errjl errju cov source
3C066B 44.591064607 0.161150909263 0.117271295656 44.2504200023 0.4 0.4 0.0 b
3C083.1 45.1139433523 0.130768280269 0.100370545118 43.69019608 0.4 0.4 0.0 b
3C270 44.414973348 0.161150909263 0.117271295656 43.7708520116 0.4 0.4 0.0 b
3C296 45.357934847 0.200659450546 0.136720567156 44.0530784435 0.4 0.4 0.0 b
3C449 44.480006943 0.207608310502 0.139879086401 43.6627578317 0.4 0.4 0.0 b
3C465 45.1461280357 0.124938736608 0.0969100130081 44.583198774 0.4 0.4 0.0 b
UGC6297 42.6812412374 0.309803919971 0.178976947293 41.8260748027 0.4 0.4 0.0 b
UGC7386 43.9493900066 0.244125144328 0.155336037465 43.1760912591 0.4 0.4 0.0 b
UGC7898 43.8129133566 0.119186407719 0.0934216851622 42.531478917 0.4 0.4 0.0 b
UGC8745 44.6232492904 0.259637310506 0.161368002235 42.7781512504 0.4 0.4 0.0 b
NGC1399 44.4471580313 0.142667503569 0.107209969648 42.3424226808 0.4 0.4 0.0 b
NGC3557 44.0211892991 0.229147988358 0.149219112655 42.8692317197 0.4 0.4 0.0 b
IC1459 44.4771212547 0.119186407719 0.0934216851622 43.8864907252 0.4 0.4 0.0 b
IC4296 45.2304489214 0.0969100130081 0.0791812460476 43.9395192526 0.4 0.4 0.0 b
A2199 43.6020599913 0.301029995664 0.176091259056 42.9542425094 0.109144469425 0.159700842868 0.0 r
CenA 42.7075701761 0.0543576623226 0.0483046795746 43.1461280357 0.146128035678 0.176091259056 0.0 r
HCG62 43.6989700043 0.221848749616 0.146128035678 42.7781512504 0.176091259056 0.221848749616 0.0 r
M84 44.1139433523 0.0347621062592 0.0321846833714 42.0413926852 0.196294645144 0.259637310506 0.0 r
M87 45.3010299957 0.0969100130081 0.0791812460476 42.903089987 0.204119982656 0.273001272064 0.0 r
M89 43.6989700043 0.698970004336 0.255272505103 41.4771212547 0.176091259056 0.221848749616 0.0 r
NGC507 44.3010299957 0.301029995664 0.176091259056 43.278753601 0.199572354905 0.239760338925 0.0 r
NGC1316 43.6989700043 0.698970004336 0.255272505103 41.9542425094 0.255272505103 0.276206411939 0.0 r
NGC4472 43.9542425094 0.176091259056 0.124938736608 41.84509804 0.243038048686 0.234083206033 0.0 r
NGC4636 42.6989700043 0.0969100130081 0.0791812460476 41.4313637642 0.176091259056 0.191885526239 0.0 r
NGC5044 43.3010299957 0.301029995664 0.176091259056 42.1139433523 0.159700842868 0.208275942427 0.0 r
NGC5813 43.0 0.221848749616 0.146128035678 41.84509804 0.243038048686 0.268845312293 0.0 r
NGC5846 43.1139433523 0.636822097587 0.247784483711 42.2041199827 0.204119982656 0.243038048686 0.0 r
